Date,PX_OPEN,ChangeO,% ChangeO,PX_LAST,ChangeL,% ChangeL,PX_LOW,PX_HIGH,PX_MID,PX_VOLUME,TURNOVER,Market Cap,BEst_PE_RATIO,PE_RATIO,BEst_EPS,PX_TO_BOOK_RATIO,EBIT,ROE,ROA,EARN_YLD_HIST,PUT_CALL_VOLUME_RATIO_CUR_DAY,SHORT_INT_RATIO,BETA_ADJ_OVERRIDABLE,BETA_RAW_OVERRIDABLE
5/8/24,21.58,-0.41,-1.864483856,21.56,0.16,0.747663551,21.06,21.73,21.555,67582882,1443530000,48011.8872,56.146,171.5768,#N/A N/A,12.718,65.794,6.9468,7.0329,0.5828,0.5311,#N/A N/A,1.7304,2.0957
5/7/24,21.99,-2.38,-9.766105868,21.4,-3.81,-15.11305038,21.35,22.7,21.405,161061622,3494927000,47655.5838,55.729,170.3035,0.091,12.6236,65.794,6.9468,7.0329,0.5872,0.5007,#N/A N/A,1.7305,2.0957
5/6/24,24.37,0.89,3.790459966,25.21,1.88,8.058294042,24.03,25.355,25.215,175936565,4327858000,55782.9987,65.481,200.6239,0.09,14.8711,65.794,6.9468,7.0329,0.4984,0.5332,#N/A N/A,1.7839,2.1758
5/3/24,23.48,0.88,3.89380531,23.33,0.78,3.458980044,22.91,23.64,23.325,55976409,1298061000,51623.0607,60.129,185.6627,0.09,13.7621,65.794,6.9468,7.0329,0.5386,0.3167,#N/A N/A,1.7744,2.1616
5/2/24,22.6,0.67,3.055175559,22.55,0.43,1.943942134,22.1,22.715,22.545,30396133,683527600,49897.129,58.119,179.4553,#N/A N/A,13.302,65.794,6.9468,7.0329,0.5572,0.3393,#N/A N/A,1.7723,2.1585
5/1/24,21.93,-0.84,-3.689064559,22.12,0.15,0.682749203,21.63,22.83,22.115,34812852,771754100,48945.6538,57.01,176.0334,0.09,13.0483,65.794,6.9468,7.0329,0.5681,0.3664,#N/A N/A,1.7725,2.1587
4/30/24,22.77,0.02,0.087912088,21.97,-0.86,-3.766973281,21.95,22.87,21.965,30511879,680276500,48613.7438,55.62,174.8396,#N/A N/A,12.9599,65.794,6.9468,7.0329,0.572,0.496,2.398,1.773,2.1595
4/29/24,22.75,0.7,3.174603175,22.83,0.31,1.376554174,22.545,23.09,22.825,30330698,690040400,50516.6942,57.797,181.6836,#N/A N/A,13.4672,65.794,6.9468,7.0329,0.5504,0.4122,#N/A N/A,1.7731,2.1597
4/26/24,22.05,1.23,5.90778098,22.52,0.81,3.730999539,21.91,22.67,22.515,33119766,741808400,49830.747,57.013,179.2166,#N/A N/A,13.2843,65.794,6.9468,7.0329,0.558,0.5646,#N/A N/A,1.7576,2.1364
4/25/24,20.82,-1.23,-5.578231293,21.71,0.12,0.555812876,20.66,21.7399,21.715,26226705,561299300,48038.4333,54.962,172.7705,#N/A N/A,12.8065,65.794,6.9468,7.0329,0.5788,0.4474,#N/A N/A,1.7628,2.1442
4/24/24,22.05,0.8,3.764705882,21.59,-0.05,-0.231053604,21.3,22.25,21.575,34426476,747731400,47772.9053,54.658,171.8156,#N/A N/A,12.7357,65.794,6.9468,7.0329,0.582,0.488,#N/A N/A,1.7635,2.1453
4/23/24,21.25,0.53,2.557915058,21.64,0.67,3.195040534,21.23,22.06,21.635,36304634,787840400,47883.5419,54.785,172.2135,#N/A N/A,12.7652,65.794,6.9468,7.0329,0.5807,0.4472,#N/A N/A,1.7635,2.1453
4/22/24,20.72,-0.26,-1.2392755,20.97,0.5,2.442598925,20.36,21.08,20.975,31894517,661692800,46401.0108,53.089,166.8815,#N/A N/A,12.37,65.794,6.9468,7.0329,0.5992,0.4346,#N/A N/A,1.7629,2.1443
4/19/24,20.98,-0.27,-1.270588235,20.47,-0.66,-3.12352106,20.33,21.43,20.475,39632591,820588200,45294.6443,51.823,162.9025,#N/A N/A,12.075,65.794,6.9468,7.0329,0.6139,0.7711,#N/A N/A,1.7555,2.1333
4/18/24,21.25,-0.76,-3.45297592,21.13,-0.18,-0.844673862,20.7,21.43,21.125,34550542,729645200,46755.0481,53.494,168.1548,#N/A N/A,12.4643,65.794,6.9468,7.0329,0.5947,0.6832,#N/A N/A,1.7585,2.1378
4/17/24,22.01,0.42,1.945345067,21.31,-0.57,-2.60511883,21.22,22.11,21.295,30139797,649724000,47153.3401,53.949,169.5873,#N/A N/A,12.5705,65.794,6.9468,7.0329,0.5897,0.5852,#N/A N/A,1.7584,2.1376
4/16/24,21.59,-1.2,-5.26546731,21.88,-0.02,-0.091324201,21.27,21.99,21.87,33869201,734289000,48414.5979,55.392,174.1234,#N/A N/A,12.9068,65.794,6.9468,7.0329,0.5743,0.4915,#N/A N/A,1.7575,2.1362
4/15/24,22.79,0.09,0.396475771,21.9,-0.77,-3.39655933,21.83,23.13,21.915,38182078,853410200,48458.8525,55.443,174.2826,0.091,12.9186,65.794,6.9468,7.0329,0.5738,0.3787,2.156,1.7575,2.1363
4/12/24,22.7,0.05,0.220750552,22.67,-0.17,-0.744308231,22.41,23.2,22.665,36764458,835945200,50162.6569,57.392,180.4103,#N/A N/A,13.3728,65.794,6.9468,7.0329,0.5543,0.5561,#N/A N/A,1.7591,2.1387
4/11/24,22.65,0.43,1.935193519,22.84,0.42,1.873327386,22.25,22.91,22.845,26399380,597925600,50538.8215,57.823,181.7632,#N/A N/A,13.4731,65.794,6.9468,7.0329,0.5502,0.5171,#N/A N/A,1.7628,2.1442
4/10/24,22.22,-0.79,-3.433289874,22.42,-0.39,-1.709776414,22.01,22.71,22.425,28642932,643394300,49609.4737,56.759,178.4208,#N/A N/A,13.2253,65.794,6.9468,7.0329,0.5605,0.6452,#N/A N/A,1.7627,2.1441
4/9/24,23.01,-0.07,-0.303292894,22.81,-0.19,-0.826086957,22.46,23.0868,22.815,27724525,630982300,50472.4395,57.747,181.5245,#N/A N/A,13.4554,65.794,6.9468,7.0329,0.5509,0.6048,#N/A N/A,1.7629,2.1443
4/8/24,23.08,0.66,2.943800178,23,0.04,0.174216028,22.67,23.2,23.005,25022708,575978600,50892.8588,58.228,183.0365,#N/A N/A,13.5674,65.794,6.9468,7.0329,0.5463,0.5789,#N/A N/A,1.7576,2.1364
4/5/24,22.42,-1.4,-5.877413938,22.96,0.48,2.135231317,22.3065,23.32,22.955,38716824,888628500,50804.3495,58.127,182.7182,#N/A N/A,13.5438,65.794,6.9468,7.0329,0.5473,0.5403,#N/A N/A,1.7614,2.1421
4/4/24,23.82,1.38,6.14973262,22.48,-0.22,-0.969162996,22.4,24.1,22.475,64995295,1503423000,49742.2377,56.911,178.8983,#N/A N/A,13.2607,65.794,6.9468,7.0329,0.559,0.3541,#N/A N/A,1.7649,2.1474
4/3/24,22.44,0.44,2,22.7,-0.02,-0.088028169,22.38,23.01,22.695,30357412,690527700,50229.0389,57.468,180.6491,#N/A N/A,13.3905,65.794,6.9468,7.0329,0.5536,0.766,#N/A N/A,1.7669,2.1504
